Name,SKU,Stock,Retail Price,Discounted Price,image_url,Website Link,image_id,image_filename,image_exists
Fancy Saree (Aditya Birla Fabric) - White & Black Colour - QS217878,QS217878,-3,1465,1340,https://byrappasilk.in/storage/uploads/yx7ceI9prSCP1boW7sdn1ef6KjlzKRKDDUjhRur1.webp,https://byrappasilks.in/shop/fancy_saree_aditya_birla_fabric_white_black_colour_qs217878_1750487955,63,000063.webp,True
Pashmina Printed Saree - Banarasi Crape - QS218569,QS218569,0,5995,5480,https://byrappasilk.in/storage/uploads/EqhoM3xRaYe8TFRWgKXZQa85KlKzR03mDJM2oHeu.webp,https://byrappasilks.in/shop/pashmina_printed_saree_banarasi_crape_qs218569_1750686881,64,000064.webp,True
Pashmina Printed Saree - Banarasi Crape - QS218564,QS218564,0,5995,5480,https://byrappasilk.in/storage/uploads/CC73ScEPwfhfcTA2z72gls37yQCD27xtjGlfJ0Au.webp,https://byrappasilks.in/shop/pashmina_printed_saree_banarasi_crape_qs218564_1750686971,65,000065.webp,True
Pashmina Printed Saree - Banarasi Crape - QS218562,QS218562,0,5995,5480,https://byrappasilk.in/storage/uploads/LHFF3H4axVW8GT48aY7o6hBeuRdxaYBUSJmUSmn0.webp,https://byrappasilks.in/shop/pashmina_printed_saree_banarasi_crape_qs218562_1750687389,66,000066.webp,True
Fancy Saree With Work - Wine Colour - QS214151,QS214151,0,7495,6845,https://byrappasilk.in/storage/uploads/PzYMaVmh4rdjXRqAdvO29SFfeE6MpMRluWmuQGQh.webp,https://byrappasilks.in/shop/fancy_saree_with_work_wine_colour_qs214151_1750753590,67,000067.webp,True
Fancy Saree With Work - Maroon Colour - QS214150,QS214150,0,7495,6845,https://byrappasilk.in/storage/uploads/4X5dWEdNaNkWThnAPK6ZIbmIaXfSvwdsVbn5I5a7.webp,https://byrappasilks.in/shop/fancy_saree_with_work_maroon_colour_qs214150_1750753556,68,000068.webp,True
Fancy Saree With Work - Black Colour - QS214152,QS214152,0,7495,6845,https://byrappasilk.in/storage/uploads/jhOfZCFrLWslK47q37XnCqTlS2Sj6qOC5amLzsT5.webp,https://byrappasilks.in/shop/fancy_saree_with_work_black_colour_qs214152_1750753813,69,000069.webp,True
Kalamkari With Kanchi Border Saree - White With Red Border -QS217133,QS217133,0,3995,3650,https://byrappasilk.in/storage/uploads/sRBCS9lAIepqfaaIHvQLct2yUM8wiA6gDXzyic07.webp,https://byrappasilks.in/shop/kalamkari_with_kanchi_border_saree_white_with_red_border_qs217133_1750757891,70,000070.webp,True
Fancy Printed Saree - Green With Dark Pink Colour - QS213638,QS213638,0,3895,3560,https://byrappasilk.in/storage/uploads/VrAu87spHy85sLEpX4jnZ5FH0kzWhqAbCSJmAZBK.webp,https://byrappasilks.in/shop/fancy_printed_saree_green_with_dark_pink_colour_qs213638_1750763869,71,000071.webp,True
Fancy Saree (Aditya Birla Fabric) - White & Black Colour - QS217074,QS217074,0,1465,1340,https://byrappasilk.in/storage/uploads/HCU9yVRED55pLylh6OAALdEWFwsStvV9icyZWnMF.webp,https://byrappasilks.in/shop/fancy_saree_aditya_birla_fabric_white_black_colour_qs217074_1750764399,72,000072.webp,True
Pure Organza Saree - Black Colour - QS217921,QS217921,0,10995,10045,https://byrappasilk.in/storage/uploads/aK9VjPCmk5nZKRNbaUqYkPhxHxPIqMPmxkYNyGkJ.webp,https://byrappasilks.in/shop/pure_organza_saree_black_colour_qs217921_1750936339,73,000073.webp,True
Banaras Fancy Saree - Cream Colour - QS216689,QS216689,0,5995,5475,https://byrappasilk.in/storage/uploads/hASdNpPI37P8ttre3lzHjN2uCdSkxJGqRXdJOS4g.webp,https://byrappasilks.in/shop/banaras_fancy_saree_cream_colour_qs216689_1751019937,74,000074.webp,True
Ajrakh Printed Sarees - Dark Blue Colour - QS215527,QS215527,0,1395,995,https://byrappasilk.in/storage/uploads/slflchG8wCRxmUBXbcukhz8r99YvU5oGIEkuOxHs.webp,https://byrappasilks.in/shop/ajrakh_printed_sarees_dark_blue_colour_qs215527_1767693913,75,000075.webp,True
Organza Fancy Saree - Peach Colour - QS202049,QS202049,0,5900,3100,https://byrappasilk.in/storage/uploads/YrbEFJLYSVS5svQFPIXN4FqKR5tjW4Y1hpGoiAve.webp,https://byrappasilks.in/shop/organza_fancy_saree_peach_colour_qs202049_1751023670,76,000076.webp,True
Organza Fancy Saree - Sky Blue Colour - QS202064,QS202064,0,5900,3100,https://byrappasilk.in/storage/uploads/Id90MyzzQIS8Dwae05ba5Fd6YHKMtgvRGm4Iv0iz.webp,https://byrappasilks.in/shop/organza_fancy_saree_sky_blue_colour_qs202064_1751023898,77,000077.webp,True
Organza Fancy Saree - Purple Colour - QS202070,QS202070,0,5900,3100,https://byrappasilk.in/storage/uploads/itADTy8eZV1haICBEzF85stU03N4sel0NCTzU2Kq.webp,https://byrappasilks.in/shop/organza_fancy_saree_purple_colour_qs202070_1751024023,78,000078.webp,True
Organza Fancy Saree - Pink Colour - QS202065,QS202065,0,5900,3100,https://byrappasilk.in/storage/uploads/Zaa5nP1FeR8uGePUVShZmjStis2HJtZV94ERjrz7.webp,https://byrappasilks.in/shop/organza_fancy_saree_pink_colour_qs202065_1751024217,79,000079.webp,True
Crape Saree - Pink With Dark Pink Colour - QS218349,QS218349,0,3695,3375,https://byrappasilk.in/storage/uploads/rq56P93RNnzjaJzCqyZDP7p0FKdrthWccL93azo5.webp,https://byrappasilks.in/shop/crape_saree_pink_with_dark_pink_colour_qs218349_1751103790,80,000080.webp,True
Crape Saree - Blue with Dark Blue Colour - QS218347,QS218347,0,3695,3375,https://byrappasilk.in/storage/uploads/RgXN2NtUV4MXmKg0UqL1b30NRPY5JnuaOfuLUiLw.webp,https://byrappasilks.in/shop/crape_saree_blue_with_dark_blue_colour_qs218347_1751104583,81,000081.webp,True
Crape Saree - Royal Blue Colour - QS217860,QS217860,0,3495,3190,https://byrappasilk.in/storage/uploads/qFo7gBwvaDArnQ3iqAsQkwB8jElLR7SiF5MUpZkH.webp,https://byrappasilks.in/shop/crape_saree_royal_blue_colour_qs217860_1751105819,82,000082.webp,True
Crape Saree - Black Colour - QS217862,QS217862,0,3495,3190,https://byrappasilk.in/storage/uploads/uX3tT1VC0MQhYbyLbAeXKRo6QnQdW97i4su9Nu5o.webp,https://byrappasilks.in/shop/crape_saree_black_colour_qs217862_1751106010,83,000083.webp,True
Tussar Aplic Printed Sare - Red Colour - QS242940,QS218680,0,3900,2048,https://byrappasilk.in/storage/uploads/LjS38QVCkNPyg7aGvmUGwjSQWmMBz7dGtvnbOafq.webp,https://byrappasilks.in/shop/tussar_aplic_printed_sare_red_colour_qs242940_1757259394,84,000084.webp,True
Tussar Aplic Printed Saree - Wine Colour - QS242941,QS218681,0,3900,2048,https://byrappasilk.in/storage/uploads/3fiskIVCV5PStGbtBh5wxzxqGDuAgRdvPIS2qJI2.webp,https://byrappasilks.in/shop/tussar_aplic_printed_saree_wine_colour_qs242941_1757259430,85,000085.webp,True
Tussar Aplic Printed Sare - Green Colour - QS242942,QS218682,0,3900,2048,https://byrappasilk.in/storage/uploads/kFOaZB91RqLU6d0zTBEnseoXBfNG4Xx8nTBglDUq.webp,https://byrappasilks.in/shop/tussar_aplic_printed_sare_green_colour_qs242942_1757259370,86,000086.webp,True
Tussar Aplic Printed Sare - Black Colour - QS242943,QS218679,0,3900,2048,https://byrappasilk.in/storage/uploads/FsLFKIueKdZVBLvAZZbgUYKTKA8L2TGmQCknV233.webp,https://byrappasilks.in/shop/tussar_aplic_printed_sare_black_colour_qs242943_1757259346,87,000087.webp,True
